@W: CL240 :"E:\MIAWU\03-08-2021\DARIN 2 V1 FPGA SOUCE\Software\miawu_upgr2_23_06_2021_v2\component\work\TOP\OSC_0\TOP_OSC_0_OSC.vhd":15:10:15:19|Signal XTLOSC_CCC is floating; a simulation mismatch is possible.
@W: CL240 :"E:\MIAWU\03-08-2021\DARIN 2 V1 FPGA SOUCE\Software\miawu_upgr2_23_06_2021_v2\component\work\TOP\OSC_0\TOP_OSC_0_OSC.vhd":14:10:14:23|Signal RCOSC_1MHZ_O2F is floating; a simulation mismatch is possible.
@W: CL240 :"E:\MIAWU\03-08-2021\DARIN 2 V1 FPGA SOUCE\Software\miawu_upgr2_23_06_2021_v2\component\work\TOP\OSC_0\TOP_OSC_0_OSC.vhd":13:10:13:23|Signal RCOSC_1MHZ_CCC is floating; a simulation mismatch is possible.
@W: CL240 :"E:\MIAWU\03-08-2021\DARIN 2 V1 FPGA SOUCE\Software\miawu_upgr2_23_06_2021_v2\component\work\TOP\OSC_0\TOP_OSC_0_OSC.vhd":12:10:12:27|Signal RCOSC_25_50MHZ_O2F is floating; a simulation mismatch is possible.
@W: CL240 :"E:\MIAWU\03-08-2021\DARIN 2 V1 FPGA SOUCE\Software\miawu_upgr2_23_06_2021_v2\component\work\TOP\OSC_0\TOP_OSC_0_OSC.vhd":11:10:11:27|Signal RCOSC_25_50MHZ_CCC is floating; a simulation mismatch is possible.
@W: CD638 :"E:\MIAWU\03-08-2021\DARIN 2 V1 FPGA SOUCE\Software\miawu_upgr2_23_06_2021_v2\hdl\main_PE_D_3_23Feb2019.vhd":146:27:146:30|Signal sig5 is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"E:\MIAWU\03-08-2021\DARIN 2 V1 FPGA SOUCE\Software\miawu_upgr2_23_06_2021_v2\hdl\main_PE_D_3_23Feb2019.vhd":150:7:150:10|Signal f2_p is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"E:\MIAWU\03-08-2021\DARIN 2 V1 FPGA SOUCE\Software\miawu_upgr2_23_06_2021_v2\hdl\main_PE_D_3_23Feb2019.vhd":150:24:150:27|Signal f3_p is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"E:\MIAWU\03-08-2021\DARIN 2 V1 FPGA SOUCE\Software\miawu_upgr2_23_06_2021_v2\hdl\main_PE_D_3_23Feb2019.vhd":150:41:150:44|Signal f4_p is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"E:\MIAWU\03-08-2021\DARIN 2 V1 FPGA SOUCE\Software\miawu_upgr2_23_06_2021_v2\hdl\main_PE_D_3_23Feb2019.vhd":150:58:150:61|Signal f5_p is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"E:\MIAWU\03-08-2021\DARIN 2 V1 FPGA SOUCE\Software\miawu_upgr2_23_06_2021_v2\hdl\main_PE_D_3_23Feb2019.vhd":151:7:151:10|Signal f6_p is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"E:\MIAWU\03-08-2021\DARIN 2 V1 FPGA SOUCE\Software\miawu_upgr2_23_06_2021_v2\hdl\main_PE_D_3_23Feb2019.vhd":156:7:156:13|Signal and1out is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"E:\MIAWU\03-08-2021\DARIN 2 V1 FPGA SOUCE\Software\miawu_upgr2_23_06_2021_v2\hdl\main_PE_D_3_23Feb2019.vhd":156:16:156:22|Signal and2out is undriven. Either assign the signal a value or remove the signal declaration.
@W: CD638 :"E:\MIAWU\03-08-2021\DARIN 2 V1 FPGA SOUCE\Software\miawu_upgr2_23_06_2021_v2\hdl\main_PE_D_3_23Feb2019.vhd":156:25:156:31|Signal and3out is undriven. Either assign the signal a value or remove the signal declaration.
